service,render_mode,factor,region_kind,expected,not_applicable,attempted,valid,errors,missing,coverage,acceptance_rate_on_attempted,positive,positive_rate_on_valid,wilson_95_low,wilson_95_high,score_mean,score_median
aiornot,resize512,1.0,suspicious,50,0,50,50,0,0,1.0,1.0,31,0.62,0.4815044693099298,0.7413721068980641,0.554426579028368,0.5879029035568237
aiornot,resize512,1.0,real_control,50,0,50,50,0,0,1.0,1.0,15,0.3,0.19103553500880954,0.437503504644534,0.40486275672912597,0.3982407748699188
aiornot,resize512,1.5,suspicious,50,0,50,50,0,0,1.0,1.0,13,0.26,0.15871527493552393,0.39553157264848837,0.37937051326967774,0.382119819521904
aiornot,resize512,1.5,real_control,50,0,50,50,0,0,1.0,1.0,13,0.26,0.15871527493552393,0.39553157264848837,0.35913039978593586,0.36039961874485016
aiornot,resize512,2.0,suspicious,50,0,50,50,0,0,1.0,1.0,9,0.18,0.09770192670234178,0.30796053674300783,0.27980204104445877,0.2360907793045044
aiornot,resize512,2.0,real_control,50,0,50,50,0,0,1.0,1.0,7,0.14,0.06950833427016294,0.2618619371058554,0.27001411058939995,0.1812475621700287
aiornot,resize512,3.0,suspicious,50,0,50,50,0,0,1.0,1.0,6,0.12,0.05617600150932274,0.23804817383202992,0.1608902284654323,0.07518346980214119
aiornot,resize512,3.0,real_control,50,0,50,50,0,0,1.0,1.0,3,0.06,0.02061497034897397,0.16217091688838173,0.15262957810424269,0.08133566379547119
aiornot,resize512,4.0,suspicious,50,0,50,50,0,0,1.0,1.0,1,0.02,0.003539259271646236,0.10495443589637815,0.07277238295879215,0.02965773642063141
aiornot,resize512,4.0,real_control,50,0,50,50,0,0,1.0,1.0,1,0.02,0.003539259271646236,0.10495443589637815,0.09934687084518373,0.04462575726211071
aiornot,resize512,8.0,suspicious,50,0,50,50,0,0,1.0,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0.04145996019011364,0.016630906611680984
aiornot,resize512,8.0,real_control,50,0,50,50,0,0,1.0,1.0,1,0.02,0.003539259271646236,0.10495443589637815,0.07849987294524909,0.020311311818659306
aiornot,native,1.0,suspicious,50,0,50,50,0,0,1.0,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0.026532152410363778,0.013525258284062147
aiornot,native,1.0,real_control,50,0,50,50,0,0,1.0,1.0,3,0.06,0.02061497034897397,0.16217091688838173,0.12933004600927234,0.033208565786480904
alibaba,resize512,1.0,suspicious,50,0,50,50,0,0,1.0,1.0,17,0.34,0.2243694922250009,0.478461739497674,28.5336,0.0
