service,render_mode,factor,pairs,suspicious_positive,real_control_positive,suspicious_only_positive,real_control_only_positive,both_positive,neither_positive,paired_positive_rate_gap,mcnemar_exact_p,score_delta_mean,score_delta_median
aiornot,resize512,1.0,50,31,15,20,4,11,15,0.32,0.001543879508972168,0.14956382229924203,0.17310813069343567
aiornot,resize512,1.5,50,13,13,9,9,4,28,0.0,1.0,0.02024011348374188,0.030765008181333542
aiornot,resize512,2.0,50,9,7,8,6,1,35,0.04,0.79052734375,0.009787930455058814,-0.007268087239935994
aiornot,resize512,3.0,50,6,3,6,3,0,41,0.06,0.5078125,0.00826065036118962,0.0012600332265719771
aiornot,resize512,4.0,50,1,1,1,1,0,48,0.0,1.0,-0.02657448788639158,-0.0057475140783935785
aiornot,resize512,8.0,50,0,1,0,1,0,49,-0.02,1.0,-0.03703991275513545,-0.0044073183089494705
aiornot,native,1.0,50,0,3,0,3,0,47,-0.06,0.25,-0.10279789359890856,-0.014123481698334217
alibaba,resize512,1.0,50,17,12,14,9,3,24,0.1,0.4048728942871094,7.837,0.0
alibaba,resize512,1.5,50,11,14,6,9,5,30,-0.06,0.60723876953125,-5.9886,0.0
alibaba,resize512,2.0,50,14,10,10,6,4,30,0.08,0.454498291015625,6.5825999999999985,0.0
alibaba,resize512,3.0,50,24,15,16,7,8,19,0.18,0.0931396484375,14.829,0.0
alibaba,resize512,4.0,50,31,16,22,7,9,12,0.3,0.008130058646202087,26.547600000000003,7.089999999999996
alibaba,resize512,8.0,50,19,9,14,4,5,27,0.2,0.0308837890625,17.0958,0.0
alibaba,native,1.0,50,1,9,1,9,0,40,-0.16,0.021484375,-14.493599999999999,0.0
copyleaks,resize512,1.0,0,0,0,0,0,0,0,,1.0,,
copyleaks,resize512,1.5,6,5,0,5,0,0,1,0.8333333333333334,0.0625,0.09069506266666666,0.090103148
copyleaks,resize512,2.0,16,12,0,12,0,0,4,0.75,0.00048828125,0.07636332475,0.0899601
copyleaks,resize512,3.0,26,16,0,16,0,0,10,0.6153846153846154,3.0517578125e-05,0.029416744423076922,0.0296173095
copyleaks,resize512,4.0,33,16,0,16,0,0,17,0.48484848484848486,3.0517578125e-05,0.0136307225,0.0
copyleaks,resize512,8.0,47,6,0,6,0,0,41,0.1276595744680851,0.03125,0.0009391459957446808,0.0
copyleaks,native,1.0,0,0,0,0,0,0,0,,1.0,,
