service,factor,region_kind,expected,attempted,valid,errors,missing,coverage,positive,positive_rate_on_valid,score_mean,score_median
hive,1,suspicious,8,7,7,0,1,0.875,0,0.0,0.05322250938850775,0.001850211055203507
hive,1,real_control,8,7,7,0,1,0.875,0,0.0,0.0061620922634928,0.003002264160220935
hive,2,suspicious,8,7,6,1,1,0.75,1,0.16666666666666666,0.17568211942726764,0.007945534964070222
hive,2,real_control,8,6,6,0,2,0.75,0,0.0,0.05172406167036336,0.0009152159641353892
hive,4,suspicious,8,6,6,0,2,0.75,0,0.0,0.0052819453208764406,0.00046660329612523035
hive,4,real_control,8,6,6,0,2,0.75,0,0.0,0.0038809657937294655,0.0007975596930046025
hive,8,suspicious,8,6,6,0,2,0.75,0,0.0,0.0001729323183724917,9.109238349477347e-05
hive,8,real_control,8,6,6,0,2,0.75,0,0.0,0.0006538134016168713,0.0004820014221115484
sightengine,1,suspicious,8,8,8,0,0,1.0,4,0.5,0.425375,0.34
sightengine,1,real_control,8,8,8,0,0,1.0,1,0.125,0.12825,0.001
sightengine,2,suspicious,8,8,8,0,0,1.0,0,0.0,0.0045000000000000005,0.001
sightengine,2,real_control,8,8,8,0,0,1.0,0,0.0,0.001,0.001
sightengine,4,suspicious,8,8,8,0,0,1.0,0,0.0,0.001,0.001
sightengine,4,real_control,8,8,8,0,0,1.0,0,0.0,0.001,0.001
sightengine,8,suspicious,8,8,8,0,0,1.0,0,0.0,0.001,0.001
sightengine,8,real_control,8,8,8,0,0,1.0,0,0.0,0.001,0.001
resemble,1,suspicious,8,5,5,0,3,0.625,4,0.8,0.8496389878273011,0.9231751320362092
resemble,1,real_control,8,5,5,0,3,0.625,1,0.2,0.3932843706101179,0.4722782580852508
resemble,2,suspicious,8,5,5,0,3,0.625,5,1.0,0.9067591394424438,0.9885094001293182
resemble,2,real_control,8,5,5,0,3,0.625,3,0.6,0.5877189245104789,0.6224884736537933
resemble,4,suspicious,8,5,4,1,3,0.5,4,1.0,0.9220479159653187,0.9690093604326248
resemble,4,real_control,8,4,4,0,4,0.5,1,0.25,0.45654712087661026,0.5348959475755691
resemble,8,suspicious,8,4,4,0,4,0.5,2,0.5,0.5946309413099661,0.688479071855545
resemble,8,real_control,8,4,4,0,4,0.5,0,0.0,0.15932270286302083,0.14015620919899083
alibaba,1,suspicious,8,8,8,0,0,1.0,2,0.25,20.4375,0.0
alibaba,1,real_control,8,8,8,0,0,1.0,2,0.25,18.53875,0.0
alibaba,2,suspicious,8,8,8,0,0,1.0,1,0.125,9.7825,0.0
alibaba,2,real_control,8,8,8,0,0,1.0,2,0.25,18.073749999999997,0.0
alibaba,4,suspicious,8,8,8,0,0,1.0,5,0.625,54.83,77.95500000000001
alibaba,4,real_control,8,8,8,0,0,1.0,2,0.25,20.855,0.0
alibaba,8,suspicious,8,8,8,0,0,1.0,4,0.5,44.60125,39.81
alibaba,8,real_control,8,8,8,0,0,1.0,3,0.375,32.10125,0.0
aiornot,1,suspicious,8,8,8,0,0,1.0,4,0.5,0.5632683970034122,0.5272298157215118
aiornot,1,real_control,8,8,8,0,0,1.0,4,0.5,0.5077920015901327,0.482893168926239
aiornot,2,suspicious,8,8,8,0,0,1.0,1,0.125,0.2555772417690605,0.19299471378326416
aiornot,2,real_control,8,8,8,0,0,1.0,2,0.25,0.32300950051285326,0.3034410774707794
aiornot,4,suspicious,8,8,8,0,0,1.0,0,0.0,0.07375138181669172,0.02385994140058756
aiornot,4,real_control,8,8,8,0,0,1.0,0,0.0,0.09090302471304312,0.04957038164138794
aiornot,8,suspicious,8,8,8,0,0,1.0,0,0.0,0.0369232956727501,0.015301043400540948
aiornot,8,real_control,8,8,8,0,0,1.0,0,0.0,0.06274764327099547,0.01047048019245267
copyleaks,1,suspicious,8,8,0,8,0,0.0,0,,,
copyleaks,1,real_control,8,8,0,8,0,0.0,0,,,
copyleaks,2,suspicious,8,8,2,6,0,0.25,1,0.5,0.038805008,0.038805008
copyleaks,2,real_control,8,8,2,6,0,0.25,0,0.0,0.0,0.0
copyleaks,4,suspicious,8,8,8,0,0,1.0,4,0.5,0.014067649875,0.0098609925
copyleaks,4,real_control,8,8,4,4,0,0.5,0,0.0,0.0,0.0
copyleaks,8,suspicious,8,8,8,0,0,1.0,1,0.125,0.000665664675,0.0
copyleaks,8,real_control,8,8,6,2,0,0.75,0,0.0,0.0,0.0
